pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,tfopwg_disp
0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8.12718,295.959,8928.0,3.92,2.72,APC
2.0685633,0.373,502.0,3.89739,24.409,619.0,9.6652,128.491,5687.9,4.6,1.14,APC
0.5971314,0.468,910.0,9.08382,1596.43,1760.0,9.9806,426.003,7710.0,3.98,2.28,APC
4.45199,2.109,8483.38,15.8858,1013.74,1571.0,10.526,359.215,6708.3,4.2,1.57,APC
10.95663,3.588,3830.0,23.9726,619.065,1389.0,10.5024,421.518,6456.0,3.92,2.07,APC
3.5187707,2.408,5634.0,14.0061,2000.01,1863.0,7.2235,75.7145,6690.0,4.24,1.49,APC
6.0360758,1.255,987.0,9.86763,464.097,1293.0,8.40534,147.134,6528.3,4.21,1.69,APC
1.2615323,1.039,2841.0,8.67407,1437.18,1715.0,10.1313,86.444,4927.9,4.57,0.78,APC
3.6950015,4.515,7655.0,14.1288,2184.62,1904.0,9.80529,280.948,7106.7,4.2,1.63,APC
14.7741056,5.504,15041.0,15.3936,123.522,928.0,9.9358,182.169,6053.0,4.3135,1.23,APC
70.3607265,1.0325441,1353.967825,8.2807306,52.1124723,685.259664,9.5298,273.698,6308.0,3.98679,2.0982201,APC
31.8132264,11.2567164,11479.37555,21.6314984,48.4375724,672.8454841,10.779,254.584,6028.84,3.96199,1.98893,APC
1.8428078,1.449,1950.0,21.2705,1687.83,1785.0,11.1311,809.252,5080.0,4.48159,4.09,APC
1.0180114,1.1353639,2618.949217,6.5875997,2488.20146,1801.321094,10.794,199.039,5451.0,4.33923,1.0933,APC
0.6166953,0.712,1089.0,10.4852,12724.9,2958.0,10.1653,278.771,6588.0,4.1855,1.57,APC
6.1406417,2.3525428,9437.183155,26.5174686,2040.107248,1714.087545,10.5819,556.813,8298.0,4.19,1.87493,APC
3.9392211,2.379,1468.0,27.6744,11779.7,2902.0,8.38189,457.792,8715.0,3.55,4.12,APC
12.71672,2.529,388.126,2.7546,34.1387,673.0,9.34822,130.242,5711.1,4.24,1.27,APC
5.0095595,3.353,8700.0,36.2553,2088.59,1883.0,9.948,302.295,6527.0,4.11,1.75,APC
