koi_period,koi_period_err1,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_model_snr,koi_tce_plnt_num,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_disposition_encoded
9.48803557,2.775e-05,0.00216,0.146,0.318,-0.146,2.9575,0.0819,615.8,19.5,2.26,0.26,793.0,93.59,29.45,35.8,1.0,0.064,-0.096,0.927,0.105,-0.061,2
54.4183827,0.0002479,0.00352,0.586,0.059,-0.443,4.507,0.116,874.8,35.5,2.83,0.32,443.0,9.11,2.87,25.8,2.0,0.064,-0.096,0.927,0.105,-0.061,2
19.89913995,1.494e-05,0.000581,0.969,5.126,-0.077,1.7822,0.0341,10829.0,171.0,14.6,3.92,638.0,39.3,31.04,76.3,1.0,0.044,-0.176,0.868,0.233,-0.078,1
1.736952453,2.63e-07,0.000115,1.276,0.115,-0.092,2.40641,0.00537,8079.2,12.8,33.46,8.5,1395.0,891.96,668.95,505.6,1.0,0.053,-0.168,0.791,0.201,-0.067,0
2.525591777,3.761e-06,0.00113,0.701,0.235,-0.478,1.6545,0.042,603.3,16.9,2.75,0.88,1406.0,926.16,874.33,40.9,1.0,0.07,-0.21,1.046,0.334,-0.133,2
11.09432054,2.036e-05,0.00141,0.538,0.03,-0.428,4.5945,0.061,1517.5,24.2,3.9,1.27,835.0,114.81,112.85,66.5,1.0,0.054,-0.229,0.972,0.315,-0.105,2
4.13443512,1.046e-05,0.0019,0.762,0.139,-0.532,3.1402,0.0673,686.0,18.7,2.77,0.9,1160.0,427.65,420.33,40.2,2.0,0.054,-0.229,0.972,0.315,-0.105,2
2.56658897,1.781e-05,0.00461,0.755,0.212,-0.523,2.429,0.165,226.5,16.8,1.59,0.52,1360.0,807.74,793.91,15.0,3.0,0.054,-0.229,0.972,0.315,-0.105,2
7.36178958,2.128e-05,0.00253,1.169,7.133,-0.044,5.022,0.136,233.7,5.8,39.21,6.45,1342.0,767.22,349.28,47.7,1.0,0.182,-0.098,1.958,0.322,-0.483,0
16.06864674,1.088e-05,0.000517,0.052,0.262,-0.052,3.5347,0.0241,4914.3,33.3,5.76,0.22,600.0,30.75,4.46,161.9,1.0,0.083,-0.028,0.848,0.033,-0.072,2
2.470613377,2.7e-08,8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,14230.9,4.2,13.04,0.51,1339.0,761.46,106.21,4304.3,1.0,0.024,-0.024,0.964,0.038,-0.038,2
2.204735417,4.3e-08,1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,6674.7,1.7,16.1,0.81,2048.0,4148.92,651.59,5945.9,1.0,0.033,-0.027,1.952,0.099,-0.11,2
3.522498429,1.98e-07,4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,9145.7,6.6,14.59,1.11,1521.0,1264.67,307.23,1741.5,1.0,0.055,-0.045,1.451,0.11,-0.11,2
3.709214104,6.536e-06,0.00143,0.051,0.395,-0.051,2.6302,0.0427,131.1,3.0,1.16,0.17,1206.0,500.46,197.96,50.6,2.0,0.085,-0.114,1.022,0.143,-0.107,2
11.521446064,1.98e-06,0.000131,2.483,2.851,-0.673,3.6399,0.0114,17984.3,31.9,150.51,39.76,753.0,75.88,58.89,622.1,1.0,0.033,-0.176,0.848,0.224,-0.075,0
19.40393776,2.068e-05,0.000842,0.804,0.007,-0.005,12.2155,0.0598,8918.7,53.3,7.18,0.76,523.0,17.69,6.66,214.7,1.0,0.072,-0.048,0.68,0.072,-0.065,0
19.221388942,1.123e-06,4.5e-05,1.065,0.031,-0.034,4.79843,0.00235,74284.0,21.9,49.29,16.03,698.0,55.97,54.55,2317.0,1.0,0.052,-0.208,0.947,0.308,-0.096,0
16.46983774,1.361e-05,0.000623,0.292,0.118,-0.101,9.4378,0.06,10478.9,39.9,7.94,0.89,595.0,29.61,12.01,303.4,1.0,0.088,-0.072,0.786,0.088,-0.088,0
9.27358173,1.037e-05,0.000877,0.387,0.004,-0.386,3.2875,0.0309,1288.3,16.8,2.47,0.2,649.0,41.85,12.49,87.2,1.0,0.065,-0.035,0.696,0.056,-0.068,2
6.02930329,5.509e-06,0.000713,0.258,0.196,-0.258,1.5821,0.0311,1912.7,34.4,2.85,0.26,678.0,50.04,16.4,65.4,1.0,0.02,-0.056,0.672,0.062,-0.036,2
2.696370652,7.534e-06,0.00234,0.044,0.36,-0.044,3.6129,0.0686,397.9,9.5,1.58,0.13,1066.0,305.34,96.64,48.2,1.0,0.09,-0.06,0.819,0.067,-0.082,0
5.349553819,8.834e-06,0.00127,0.092,0.369,-0.092,3.0278,0.0471,831.0,14.8,2.55,0.16,919.0,168.99,34.66,60.6,1.0,0.098,-0.045,0.91,0.057,-0.086,2
3.94105221,1.094e-05,0.00233,0.226,0.243,-0.226,2.5984,0.0737,363.3,13.9,1.7,0.11,1018.0,253.15,51.91,28.9,2.0,0.098,-0.045,0.91,0.057,-0.086,2
8.10904807,6.787e-05,0.00716,0.025,0.425,-0.025,3.596,0.198,217.4,16.8,1.3,0.09,800.0,97.03,19.9,14.1,3.0,0.098,-0.045,0.91,0.057,-0.086,2
386.6030528,0.0001369,0.000299,0.9765,0.0497,-0.0268,6.8057,0.0184,24926.6,45.8,41.5,1.68,297.0,1.84,0.26,994.0,1.0,0.014,-0.014,1.58,0.064,-0.064,0
21.67699193,7.01e-05,0.00258,0.896,0.01,-0.663,3.4555,0.0656,857.2,27.1,2.95,0.12,530.0,18.64,2.78,34.3,1.0,0.075,-0.02,0.828,0.032,-0.065,2
4.99677968,1.389e-05,0.00219,0.71,0.006,-0.533,2.1717,0.0762,934.7,39.7,2.78,0.52,917.0,166.95,102.06,28.2,1.0,0.034,-0.136,0.847,0.161,-0.069,2
4.280963604,6.141e-06,0.00115,0.424,0.112,-0.356,2.875,0.042,750.8,14.1,2.3,0.58,1012.0,247.87,182.24,61.8,1.0,0.032,-0.168,0.831,0.207,-0.069,2
1.50635409,4.7e-07,0.000246,0.86,0.042,-0.125,1.5155,0.0483,2211.7,18.3,4.53,1.01,1452.0,1054.12,703.1,181.1,1.0,0.04,-0.16,0.831,0.186,-0.08,0
670.645531,0.001237,0.00157,0.701,0.004,-0.005,53.412,0.131,18090.6,33.5,14.14,2.13,196.0,0.35,0.15,642.7,1.0,0.032,-0.12,0.983,0.148,-0.049,0
61.2563628,0.000156,0.00209,1.248,6.912,-0.067,7.633,0.105,5123.3,70.6,39.87,12.79,505.0,15.43,14.85,85.3,1.0,0.072,-0.217,1.091,0.35,-0.15,0
38.3775486,0.0001602,0.00338,0.468,0.461,-0.267,5.588,0.113,724.2,23.4,2.82,0.37,529.0,18.53,6.72,34.7,1.0,0.121,-0.099,1.036,0.138,-0.124,2
41.19725502,9.345e-05,0.00171,0.045,0.337,-0.045,4.6297,0.0633,2213.9,45.5,3.86,0.15,439.0,8.76,1.27,51.2,2.0,0.083,-0.028,0.848,0.033,-0.072,2
6.252962249,9.577e-06,0.00117,0.105,0.329,-0.105,2.5819,0.0426,1036.9,24.5,2.65,0.1,823.0,108.3,15.73,47.1,3.0,0.083,-0.028,0.848,0.033,-0.072,2
16.01308419,4.854e-05,0.00243,0.799,0.097,-0.551,3.2554,0.0791,1121.9,39.4,3.1,0.34,593.0,29.31,11.77,33.2,1.0,0.092,-0.115,0.826,0.091,-0.082,2
32.62876672,5.801e-05,0.00138,0.021,0.402,-0.021,4.7971,0.058,1804.8,25.4,3.36,0.76,506.0,15.55,10.51,80.0,1.0,0.05,-0.15,0.798,0.181,-0.077,2
91.7732862,0.0007518,0.00643,0.606,0.335,-0.4,6.473,0.204,652.0,36.2,2.12,0.48,359.0,3.92,2.64,19.1,2.0,0.05,-0.15,0.798,0.181,-0.077,2
